Variable,Category,Tag,Weight,Exclude,Require,Extra
tS,background,argyle background,8,[],[],[]
tS,background,halftone background,8,[],[],[]
tS,background,"simple background, sparkle background",12,[],[],[]
tS,background,"simple background, abstract background",12,[],[],[]
tS,background,abstract background,12,[],[],[]
tS,background,patterned background,12,[],[],[]
tS,background,plaid background,10,[],[],[]
tS,background,"simple background, sunburst background",10,[],[],[]
tS,background,tan background,12,[],[],[]
tS,background,light blue background,12,[],[],[]
tS,background,snowflake background,8,[],[],[]
tS,background,grid background,12,[],[],[]
tS,background,leaf background,12,[],[],[]
tS,background,"simple background, rainbow background",12,[],[],[]
tS,background,rainbow background,12,[],[],[]
tS,background,lavender background,12,[],[],[]
tS,background,light brown background,12,[],[],[]
tS,background,bubble background,12,[],[],[]
tS,background,sepia background,12,[],[],[]
tS,background,fiery background,12,[],[],[]
tS,background,silver background,12,[],[],[]
tS,background,splatter background,12,[],[],[]
tS,background,"sketch background, scenery",12,[],[],[]
tS,background,scenery,220,[],[],[]
tA,lighting,ligne claire,12,[],[],[]
tA,lighting,realistic,12,[],[],[]
tA,lighting,photorealistic,12,[],[],[]
tA,lighting,cel shading,12,[],[],[]
tA,lighting,sketch,12,[],[],[]
tA,lighting,jaggy lines,12,[],[],[]
tA,lighting,retro artstyle,12,[],[],[]
tA,lighting,toon (style),12,[],[],[]
tA,lighting,surreal,12,[],[],[]
tA,lighting,abstract,12,[],[],[]
tA,lighting,spot color,12,[],[],[]
tA,lighting,graphite (medium),12,[],[],[]
tA,lighting,watercolor (medium),12,[],[],[]
tA,lighting,concept art,12,[],[],[]
tA,lighting,flat color,12,[],[],[]
tA,lighting,ai-generated,12,[],[],[]
tA,lighting,faux traditional media,12,[],[],[]
tA,lighting,oekaki,12,[],[],[]
tA,lighting,minimalism,12,[],[],[]
tA,lighting,impressionism,12,[],[],[]
tA,lighting,1970s (style),12,[],[],[]
tA,lighting,1980s (style),12,[],[],[]
tA,lighting,1990s (style),12,[],[],[]
tA,lighting,"chibi, chibi only",12,[],[],[]
tA,lighting,pc-98 (style),12,[],[],[]
tA,lighting,shikishi,1,[],[],[]
tA,lighting,colored pencil (medium),12,[],[],[]
tA,lighting,painterly,12,[],[],[]
tA,lighting,millipen (medium),12,[],[],[]
tA,lighting,pen (medium),12,[],[],[]
tA,lighting,tegaki,12,[],[],[]
tA,lighting,vector trace,12,[],[],[]
tA,lighting,production art,12,[],[],[]
tA,lighting,"figure, photo (medium)",12,[],[],[]
tA,lighting,pixelated,12,[],[],[]
tA,lighting,color trace,12,[],[],[]
tA,lighting,pastel (medium),12,[],[],[]
tq,animal_features,"bat ears, bat wings",12,[],[],[]
tq,animal_features,bear ears,12,[],[],[]
tq,animal_features,"rabbit girl, rabbit ears",12,[],"[""female""]",[]
tq,animal_features,"rabbit girl, rabbit ears, floppy ears",12,[],"[""female""]",[]
tq,animal_features,"cat ears, cat tail",12,[],[],[]
tq,animal_features,"leopard ears, leopard tail",12,[],[],[]
tq,animal_features,"snow leopard ears, snow leopard tail",12,[],[],[]
tq,animal_features,"panther ears, panther tail",12,[],[],[]
tq,animal_features,"jaguar ears, jaguar tail",12,[],[],[]
tq,animal_features,"cow ears, cow horns, cow tail",12,[],[],[]
tq,animal_features,"deer ears, deer antlers",12,[],[],[]
tq,animal_features,"dog ears, dog tail",12,[],[],[]
tq,animal_features,"fox ears, fox tail",12,[],[],[]
tq,animal_features,"horse ears, horse tail",12,[],[],[]
tq,animal_features,"monkey ears, monkey tail",12,[],[],[]
tq,animal_features,"mouse ears, mouse tail",12,[],[],[]
tq,animal_features,"sheep ears, sheep horns",12,[],[],[]
tq,animal_features,"goat ears, goat horns",12,[],[],[]
tq,animal_features,"lion ears, lion tail",12,[],[],[]
tq,animal_features,"squirrel ears, squirrel tail",12,[],[],[]
tq,animal_features,"tiger ears, tiger tail",12,[],[],[]
tq,animal_features,"wolf ears, wolf tail",12,[],[],[]
tq,animal_features,"oni, oni horns",12,[],[],[]
tq,animal_features,"elf, pointy ears",12,[],[],[]
tq,animal_features,"elf, long pointy ears",12,[],[],[]
tq,animal_features,"dark elf, pointy ears",12,[],[],[]
tq,animal_features,"dark elf, long pointy ears",12,[],[],[]
tq,animal_features,"fairy, fairy wings",12,[],[],[]
tq,animal_features,"dragon horns, dragon tail",12,[],[],[]
tq,animal_features,"demon horns, demon tail",12,[],[],[]
tq,animal_features,"cow ears, cow horns",12,[],[],[]
tq,animal_features,angel,12,[],[],[]
tq,animal_features,"android, robot joints",12,[],[],[]
tq,animal_features,"robot girl, clothed robot",12,[],"[""female""]",[]
tq,animal_features,"monster girl, mermaid, scales",12,"[""nolegs""]","[""female""]",[]
tq,animal_features,"monster girl, head fins, fish tail",12,[],"[""female""]",[]
tq,animal_features,"raccoon ears, raccoon tail",12,[],[],[]
tq,animal_features,"monster girl, slime girl",12,[],"[""female""]",[]
tq,animal_features,"monster girl, lamia",12,"[""nolegs""]","[""female""]",[]
tq,animal_features,"monster girl, harpy, winged arms",12,"[""noarms"",""female""]",[],[]
tq,animal_features,"orc, colored skin",12,[],[],[]
tq,animal_features,"cyclops, one-eyed",12,[],[],[]
tq,animal_features,centaur,12,"[""nolegs""]",[],[]
tq,animal_features,monster,12,[],[],[]
tq,animal_features,"monster girl, plant girl, alraune",12,[],"[""female""]",[]
tq,animal_features,minigirl,12,[],"[""female""]",[]
tq,animal_features,miniboy,12,[],"[""male""]",[]
tq,animal_features,"ghost, ghost tail",12,[],[],[]
tq,animal_features,centauroid,12,[],[],[]
tq,animal_features,"monster girl, scylla, tentacles",12,"[""nolegs""]","[""female""]",[]
tq,animal_features,"weasel tail, weasel ears",12,[],[],[]
tq,animal_features,"otter ears, otter tail",12,[],[],[]
tq,animal_features,halfling,12,[],[],[]
tq,animal_features,goblin,12,[],[],[]
tq,animal_features,"chipmunk ears, chipmunk tail",12,[],[],[]
tD,skin,dark skin,200,[],[],[]
tD,skin,very dark skin,200,[],[],[]
tD,skin,pale skin,200,[],[],[]
tD,skin,tan,200,[],[],[]
tD,skin,gradient skin,12,[],[],[]
tD,skin,black skin,12,[],[],[]
tD,skin,blue skin,12,[],[],[]
tD,skin,green skin,12,[],[],[]
tD,skin,grey skin,12,[],[],[]
tD,skin,orange skin,12,[],[],[]
tD,skin,pink skin,12,[],[],[]
tD,skin,purple skin,12,[],[],[]
tD,skin,red skin,12,[],[],[]
tD,skin,white skin,12,[],[],[]
tD,skin,yellow skin,12,[],[],[]
tM,eyes_special,heterochromia,12,[],[],[]
tM,eyes_special,multicolored eyes,12,[],[],[]
tM,eyes_special,no eyes,12,"[""noeyes""]",[],[]
tM,eyes_special,ringed eyes,12,[],[],[]
tM,eyes_special,heart-shaped pupils,12,[],[],[]
tM,eyes_special,star-shaped pupils,12,[],[],[]
tM,eyes_special,diamond-shaped pupils,12,[],[],[]
tM,eyes_special,cross-shaped pupils,12,[],[],[]
tM,eyes_special,x-shaped pupils,12,[],[],[]
tM,eyes_special,horizontal pupils,12,[],[],[]
tM,eyes_special,bags under eyes,12,[],[],[]
tM,eyes_special,glowing eyes,2,[],[],[]
tM,eyes_special,glowing eye,2,[],[],[]
tM,eyes_special,flaming eye,2,[],[],[]
tM,eyes_special,bright pupils,12,[],[],[]
tM,eyes_special,sparkling eyes,12,[],[],[]
tM,eyes_special,star in eye,12,[],[],[]
tM,eyes_special,slit pupils,12,[],[],[]
tM,eyes_special,constricted pupils,12,[],[],[]
tz,eyes_style,crazy eyes,4,[],[],[]
tz,eyes_style,empty eyes,12,[],[],[]
tz,eyes_style,solid circle eyes,4,"[""nocoloreyes""]",[],[]
tz,eyes_style,solid oval eyes,4,"[""nocoloreyes""]",[],[]
tz,eyes_style,jitome,12,[],[],[]
tz,eyes_style,tareme,12,[],[],[]
tz,eyes_style,tsurime,12,[],[],[]
tz,eyes_style,sanpaku,12,[],[],[]
tz,eyes_style,long eyelashes,12,[],[],[]
tP,hair_length,very short hair,12,[],[],[]
tP,hair_length,short hair,12,[],[],[]
tP,hair_length,short hair with long locks,2,[],[],[]
tP,hair_length,medium hair,12,[],[],[]
tP,hair_length,long hair,12,"[""longhair""]",[],[]
tP,hair_length,very long hair,4,"[""longhair""]","[""female""]",[]
tP,hair_length,absurdly long hair,4,"[""longhair""]","[""female""]",[]
tP,hair_length,big hair,8,"[""longhair""]","[""female""]",[]
tR,hair_style,braid,12,[],[],[]
tR,hair_style,braided bangs,12,[],"[""female""]",[]
tR,hair_style,front braid,12,[],"[""female""]",[]
tR,hair_style,side braid,12,[],"[""female""]",[]
tR,hair_style,french braid,12,[],"[""female""]",[]
tR,hair_style,crown braid,12,[],"[""female""]",[]
tR,hair_style,single braid,12,[],[],[]
tR,hair_style,multiple braids,12,[],"[""female""]",[]
tR,hair_style,braided ponytail,12,[],[],[]
tR,hair_style,hair bun,12,[],"[""female""]",[]
tR,hair_style,braided bun,12,[],[],[]
tR,hair_style,single hair bun,12,[],[],[]
tR,hair_style,double bun,12,[],"[""female""]",[]
tR,hair_style,hair rings,12,[],"[""female""]",[]
tR,hair_style,"half updo, short ponytail",12,[],[],[]
tR,hair_style,"half updo, hair bun",12,[],[],[]
tR,hair_style,"half updo, bow",12,[],[],[]
tR,hair_style,one side up,12,[],"[""female""]",[]
tR,hair_style,two side up,12,[],"[""female""]",[]
tR,hair_style,cone hair bun,12,[],"[""female""]",[]
tR,hair_style,low-braided long hair,12,[],"[""longhair""]",[]
tR,hair_style,low-tied long hair,12,[],"[""longhair""]",[]
tR,hair_style,ponytail,12,[],[],[]
tR,hair_style,folded ponytail,12,[],[],[]
tR,hair_style,high ponytail,12,[],[],[]
tR,hair_style,short ponytail,12,[],[],[]
tR,hair_style,side ponytail,12,[],"[""female""]",[]
tR,hair_style,wide ponytail,12,[],[],[]
tR,hair_style,twintails,12,[],"[""female""]",[]
tR,hair_style,low twintails,12,[],"[""female""]",[]
tR,hair_style,short twintails,12,[],"[""female""]",[]
tR,hair_style,uneven twintails,12,[],"[""female""]",[]
tR,hair_style,"drill hair, twin drills",12,[],"[""female""]",[]
tR,hair_style,sidecut,12,[],[],[]
tR,hair_style,asymmetrical hair,12,[],[],[]
tR,hair_style,hime cut,12,[],"[""female"",""longhair""]",[]
tR,hair_style,single side bun,12,[],"[""female""]",[]
tR,hair_style,afro,12,[],[],[]
tR,hair_style,beehive hairdo,12,[],"[""female""]",[]
tR,hair_style,pompadour,12,[],[],[]
tR,hair_style,bow-shaped hair,12,[],"[""female""]",[]
tR,hair_style,dreadlocks,12,[],[],[]
tR,hair_style,doughnut hair bun,12,[],"[""female""]",[]
tR,hair_style,wolf cut,12,[],[],[]
tR,hair_style,undercut,12,[],[],"[""longhair""]"
tR,hair_style,pixie cut,12,[],[],"[""longhair""]"
tR,hair_style,bob cut,12,[],[],"[""longhair""]"
tR,hair_style,inverted bob,12,[],[],"[""longhair""]"
tR,hair_style,bowl cut,12,[],[],"[""longhair""]"
tR,hair_style,topknot,12,[],[],[]
tR,hair_style,single hair ring,12,[],"[""female""]",[]
tR,hair_style,mohawk,12,[],[],[]
tR,hair_style,low twin braids,12,[],"[""female""]",[]
tR,hair_style,hair horns,12,[],[],[]
tR,hair_style,center-flap bangs,12,[],[],[]
tR,hair_style,buzz cut,12,[],[],[]
tT,hair_accessories,drill hair,12,[],"[""female"",""longhair""]",[]
tT,hair_accessories,hair flaps,12,[],[],[]
tT,hair_accessories,messy hair,12,[],[],[]
tT,hair_accessories,ringlets,12,[],"[""female""]",[]
tT,hair_accessories,spiked hair,12,[],[],[]
tT,hair_accessories,straight hair,12,[],[],[]
tT,hair_accessories,wavy hair,12,[],[],[]
tT,hair_accessories,blunt ends,12,[],[],[]
tT,hair_accessories,flipped hair,12,[],[],[]
tT,hair_accessories,lone nape hair,12,[],[],[]
tT,hair_accessories,parted hair,12,[],[],[]
tT,hair_accessories,fluffy hair,12,[],[],[]
tT,hair_accessories,curly hair,12,[],[],[]
tN,bangs,arched bangs,12,[],[],[]
tN,bangs,asymmetrical bangs,12,[],[],[]
tN,bangs,bangs pinned back,12,[],[],[]
tN,bangs,blunt bangs,12,[],[],[]
tN,bangs,crossed bangs,12,[],[],[]
tN,bangs,hair over eyes,12,[],[],[]
tN,bangs,hair over one eye,12,[],[],[]
tN,bangs,long bangs,12,[],[],[]
tN,bangs,parted bangs,12,[],[],[]
tN,bangs,short bangs,12,[],[],[]
tN,bangs,swept bangs,12,[],[],[]
tN,bangs,hair between eyes,12,[],[],[]
tN,bangs,hair intakes,12,[],"[""female""]",[]
tN,bangs,single hair intake,12,[],"[""female""]",[]
tN,bangs,sidelocks,12,[],[],[]
tN,bangs,asymmetrical sidelocks,12,[],[],[]
tN,bangs,drill sidelocks,12,[],"[""female""]",[]
tN,bangs,single sidelock,12,[],[],[]
tN,bangs,hair pulled back,12,[],[],[]
tN,bangs,hair slicked back,12,[],[],[]
tN,bangs,ahoge,8,[],[],[]
tN,bangs,"ahoge, huge ahoge",4,[],[],[]
tN,bangs,"ahoge, heart ahoge",4,[],[],[]
tN,bangs,antenna hair,12,[],[],[]
tN,bangs,cowlick,12,[],[],[]
tN,bangs,diagonal bangs,12,[],[],[]
tN,bangs,curtained hair,12,[],[],[]
tN,bangs,long hair between eyes,12,[],[],[]
tN,bangs,hair behind ear,12,[],"[""female""]",[]
tN,bangs,double-parted bangs,12,[],[],[]
tN,bangs,low-tied sidelocks,12,[],[],[]
tN,bangs,side part,12,[],[],[]
tL,expressions,flat chest,6,[],[],[]
tL,expressions,small breasts,14,"[""breasts""]",[],[]
tL,expressions,medium breasts,14,"[""breasts""]",[],[]
tL,expressions,large breasts,4,"[""breasts""]",[],[]
tL,expressions,huge breasts,2,"[""breasts""]",[],[]
tL,expressions,gigantic breasts,1,"[""breasts""]",[],[]
tL,expressions,sagging breasts,1,"[""breasts""]",[],[]
tE,emotions,forehead,12,[],[],[]
tE,emotions,collarbone,12,[],[],[]
tE,emotions,neck,12,[],[],[]
tE,emotions,narrow waist,12,[],[],[]
tE,emotions,wide hips,12,[],"[""female""]",[]
tE,emotions,shiny skin,12,[],[],[]
tE,emotions,thighs,12,[],[],[]
tE,emotions,thick thighs,12,[],"[""female""]",[]
tE,emotions,thigh gap,12,[],"[""female""]",[]
tE,emotions,third eye,1,[],[],[]
tE,emotions,thick eyebrows,12,[],[],[]
tE,emotions,teeth,12,[],[],[]
tE,emotions,stomach,12,[],[],[]
tE,emotions,plump,12,[],[],[]
tE,emotions,scar,4,[],[],[]
tE,emotions,petite,12,[],[],[]
tE,emotions,muscular,12,[],[],[]
tE,emotions,mature female,12,[],"[""female""]",[]
tE,emotions,mature male,12,[],"[""male""]",[]
tE,emotions,huge ass,2,[],[],"[""front""]"
tE,emotions,flat ass,2,[],[],"[""front""]"
tE,emotions,mole under eye,4,[],[],[]
tE,emotions,mole under mouth,4,[],[],[]
tE,emotions,mole on thigh,4,[],"[""legs""]",[]
tE,emotions,freckles,12,[],[],[]
tE,emotions,curvy,12,[],"[""female""]",[]
tE,emotions,androgynous,12,[],[],[]
tE,emotions,abs,12,[],[],[]
tE,emotions,old woman,12,[],"[""female""]",[]
tE,emotions,old man,12,[],"[""male""]",[]
tE,emotions,toned,12,[],[],[]
tE,emotions,fat,2,[],[],[]
tE,emotions,biceps,12,[],[],[]
tE,emotions,knees,12,[],[],[]
tE,emotions,skinny,12,[],[],[]
tE,emotions,hip bones,12,[],[],[]
tE,emotions,thick arms,12,[],[],[]
tE,emotions,tall,12,[],[],[]
tE,emotions,short,12,[],[],[]
tE,emotions,tomboy,12,[],"[""female""]",[]
tE,emotions,otoko no ko,12,[],"[""male""]",[]
tE,emotions,sideburns,12,[],"[""male""]",[]
tE,emotions,long sideburns,12,[],"[""male""]",[]
tE,emotions,handsome lady,12,[],"[""female""]",[]
tE,emotions,hairy,12,[],"[""male""]",[]
tE,emotions,bishounen,12,[],"[""male""]",[]
tE,emotions,big belly,1,[],[],[]
tE,emotions,bara,12,[],"[""male""]",[]
tE,emotions,sideburns stubble,12,[],"[""male""]",[]
tE,emotions,veiny arms,12,[],[],[]
tE,emotions,shortstack,12,[],"[""female""]",[]
tE,emotions,thick lips,12,[],[],[]
tE,emotions,stoic beauty,12,[],"[""female""]",[]
tE,emotions,ugly man,12,[],"[""male""]",[]
tE,emotions,ugly woman,12,[],"[""female""]",[]
tB,body,"hat, baseball cap",12,"[""headcovering""]",[],[]
tB,body,"hat, cabbie hat",12,"[""headcovering""]",[],[]
tB,body,"hat, deerstalker",12,"[""headcovering""]",[],[]
tB,body,"hat, peaked cap",12,"[""headcovering""]",[],[]
tB,body,"hat, shako cap",12,"[""headcovering""]",[],[]
tB,body,"hat, bicorne",12,"[""headcovering""]",[],[]
tB,body,"hat, bowler hat",12,"[""headcovering""]",[],[]
tB,body,"hat, cowboy hat",12,"[""headcovering""]",[],[]
tB,body,"hat, straw hat",12,"[""headcovering""]",[],[]
tB,body,"hat, fedora",12,"[""headcovering""]",[],[]
tB,body,"hat, flat cap",12,"[""headcovering""]",[],[]
tB,body,"hat, pirate hat",12,"[""headcovering""]",[],[]
tB,body,"hat, sun hat",12,"[""headcovering""]",[],[]
tB,body,"hat, top hat",12,"[""headcovering""]",[],[]
tB,body,"hat, tricorne",12,"[""headcovering""]",[],[]
tB,body,"hat, witch hat",12,"[""headcovering""]",[],[]
tB,body,"hat, wizard hat, conical hat",12,"[""headcovering""]",[],[]
tB,body,"hat, military hat, dixie cup hat",12,"[""headcovering""]",[],[]
tB,body,"hat, chef hat",12,"[""headcovering""]",[],[]
tB,body,"hat, beret",12,"[""headcovering""]",[],[]
tB,body,"hat, beanie",12,"[""headcovering""]",[],[]
tB,body,coif,12,"[""headcovering""]",[],[]
tB,body,"hat, fur hat",12,"[""headcovering""]",[],[]
tB,body,"hat, nightcap",12,"[""headcovering""]",[],[]
tB,body,"hat, nurse cap",12,"[""headcovering""]",[],[]
tB,body,"hat, party hat",12,"[""headcovering""]",[],[]
tB,body,"hat, sailor hat",12,"[""headcovering""]",[],[]
tB,body,"hat, santa hat",12,"[""headcovering""]",[],[]
tB,body,"hat, animal hat",12,"[""headcovering""]",[],[]
tB,body,crown,12,"[""headcovering""]",[],[]
tB,body,tiara,12,"[""headcovering""]","[""female""]",[]
tB,body,"aviator cap, goggles",12,"[""headcovering""]",[],[]
tB,body,bandana,12,"[""headcovering""]",[],[]
tB,body,bonnet,12,"[""headcovering""]","[""female""]",[]
tB,body,headscarf,12,"[""headcovering""]",[],[]
tB,body,"hat, jester cap",12,"[""headcovering""]",[],[]
tB,body,"hat, frilled hat",12,"[""headcovering""]",[],[]
tB,body,"hat, military hat",12,"[""headcovering""]",[],[]
tB,body,"hat, police hat",12,"[""headcovering""]",[],[]
tB,body,visor cap,12,"[""headcovering""]",[],[]
tB,body,"hat, garrison cap",12,"[""headcovering""]",[],[]
tB,body,head wreath,12,"[""headcovering""]",[],[]
tB,body,flower wreath,12,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, bird on head",3,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, cat on head",3,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, dog on head",3,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, panda on head",3,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, rabbit on head",3,"[""headcovering""]",[],[]
tB,body,"on head, animal on head, capybara on head",1,"[""headcovering""]",[],[]
tB,body,"hat, tokin hat",12,"[""headcovering""]",[],[]
tB,body,super crown,1,"[""headcovering""]",[],[]
tB,body,rabbit hood,12,"[""headcovering""]",[],[]
tB,body,qingdai guanmao,12,"[""headcovering""]",[],[]
tB,body,horned helmet,12,"[""headcovering""]",[],[]
tB,body,turban,12,"[""headcovering""]",[],[]
tB,body,space helmet,4,[],[],[]
tB,body,tenugui,12,"[""headcovering""]",[],[]
tB,body,pom pom beanie,12,"[""headcovering""]",[],[]
tF,poses,hair ribbon,12,[],"[""female""]",[]
tF,poses,hair bow,12,[],"[""female""]",[]
tF,poses,hairband,12,[],[],[]
tF,poses,headband,12,[],[],[]
tF,poses,headdress,12,[],"[""female""]",[]
tF,poses,veil,12,[],"[""female""]",[]
tF,poses,hooded cloak,12,[],[],[]
tF,poses,triangular headpiece,12,[],[],[]
tF,poses,towel on head,12,[],[],[]
tF,poses,lolita hairband,12,[],"[""female""]",[]
tF,poses,horned headwear,12,[],[],[]
tF,poses,bun cover,12,[],"[""female""]",[]
tF,poses,hairpods,12,[],[],[]
tF,poses,hachimaki,12,[],[],[]
tF,poses,rabbit ear hairband,4,[],"[""female""]",[]
tF,poses,cat ear hairband,12,[],[],[]
tG,actions,hat bow,12,[],[],[]
tG,actions,hat flower,12,[],[],[]
tG,actions,hat ornament,12,[],[],[]
tG,actions,hat ribbon,12,[],[],[]
tG,actions,hat with ears,12,[],[],[]
tG,actions,winged hat,8,[],[],[]
tG,actions,ears through headwear,1,[],[],[]
tW,clothing,"dress, cocktail dress",12,[],"[""female""]",[]
tW,clothing,"german clothes, dirndl",5,[],"[""female""]",[]
tW,clothing,"dress, evening gown",5,[],"[""female""]",[]
tW,clothing,funeral dress,5,[],"[""female""]",[]
tW,clothing,gown,5,"[""strapped""]","[""female""]",[]
tW,clothing,nightgown,5,"[""strapped""]","[""female""]",[]
tW,clothing,pencil dress,5,"[""strapped""]","[""female""]",[]
tW,clothing,sailor dress,5,[],"[""female""]",[]
tW,clothing,santa dress,5,[],"[""female""]",[]
tW,clothing,sundress,5,[],"[""female""]",[]
tW,clothing,sweater dress,5,[],"[""female""]",[]
tW,clothing,tube dress,5,[],"[""female""]",[]
tW,clothing,wedding dress,5,[],"[""female""]",[]
tW,clothing,fur-trimmed dress,5,[],"[""female""]",[]
tW,clothing,armored dress,5,[],"[""female""]",[]
tW,clothing,backless dress,5,[],"[""female""]",[]
tW,clothing,collared dress,5,[],"[""female""]",[]
tW,clothing,frilled dress,5,"[""buttons""]","[""female""]",[]
tW,clothing,halter dress,5,[],"[""female""]",[]
tW,clothing,latex dress,5,[],"[""female""]",[]
tW,clothing,layered dress,5,[],"[""female""]",[]
tW,clothing,long dress,5,[],"[""female""]",[]
tW,clothing,off-shoulder dress,5,[],"[""female""]",[]
tW,clothing,pleated dress,5,[],"[""female""]",[]
tW,clothing,ribbed dress,5,[],"[""female""]",[]
tW,clothing,ribbon-trimmed dress,5,[],"[""female""]",[]
tW,clothing,short dress,5,"[""strapped""]","[""female""]",[]
tW,clothing,see-through dress,5,[],"[""female""]",[]
tW,clothing,sleeveless dress,5,[],"[""female""]",[]
tW,clothing,strapless dress,5,[],"[""female""]",[]
tW,clothing,china dress,5,[],"[""female""]",[]
tW,clothing,camisole,12,"[""strapped""]","[""female""]",[]
tW,clothing,babydoll,12,"[""strapped""]","[""female""]",[]
tW,clothing,chemise,12,"[""strapped""]","[""female""]",[]
tW,clothing,nightgown,12,"[""strapped""]","[""female""]",[]
tW,clothing,pinafore dress,12,[],"[""female""]",[]
tW,clothing,see-through dress,12,[],"[""female""]",[]
tW,clothing,glitter dress,12,"[""strapped""]","[""female""]",[]
tW,clothing,crinoline,12,[],"[""female""]",[]
tW,clothing,microdress,12,[],"[""female""]",[]
tW,clothing,highleg dress,12,[],"[""female""]",[]
tW,clothing,hobble dress,12,[],"[""female""]",[]
tO,accessories,socks,12,[],"[""feel""]",[]
tO,accessories,kneehighs,12,[],"[""female"",""feet""]",[]
tO,accessories,over-kneehighs,12,"[""legwear""]","[""female"",""legs""]",[]
tO,accessories,thighhighs,16,"[""legwear""]","[""female"",""legs""]",[]
tO,accessories,pantyhose,8,[],"[""female"",""legs""]",[]
tO,accessories,thighband pantyhose,8,[],"[""female"",""legs""]",[]
tO,accessories,leggings,24,"[""legwear""]","[""female"",""legs""]",[]
tO,accessories,leg warmers,12,[],"[""legs""]",[]
tO,accessories,loose socks,12,[],"[""feet""]",[]
tO,accessories,bobby socks,12,[],"[""feet"",""female""]",[]
tO,accessories,frilled socks,12,[],"[""feet"",""female""]",[]
tV,background_detail,fishnet legwear,12,[],"[""legwear""]",[]
tV,background_detail,bow legwear,12,[],"[""legwear""]",[]
tV,background_detail,ribbed legwear,12,[],"[""legwear""]",[]
tV,background_detail,seamed legwear,12,[],"[""legwear""]",[]
tV,background_detail,see-through legwear,12,[],"[""legwear""]",[]
tV,background_detail,shiny legwear,12,[],"[""legwear""]",[]
tV,background_detail,fur-trimmed legwear,12,[],"[""legwear""]",[]
tV,background_detail,lace-trimmed legwear,12,[],"[""legwear""]",[]
tV,background_detail,uneven legwear,12,[],"[""legwear""]",[]
tV,background_detail,mismatched legwear,12,[],"[""legwear""]",[]
tU,atmosphere,blouse,12,"[""buttons""]",[],[]
tU,atmosphere,frilled shirt,12,"[""shirt""]",[],[]
tU,atmosphere,sleeveless shirt,12,"[""shirt""]",[],[]
tU,atmosphere,bustier,12,[],"[""breasts""]",[]
tU,atmosphere,crop top,12,"[""strapped""]",[],[]
tU,atmosphere,cardigan,12,[],[],[]
tU,atmosphere,cardigan vest,12,[],[],[]
tU,atmosphere,coat,12,[],[],[]
tU,atmosphere,duffel coat,12,[],[],[]
tU,atmosphere,fur coat,12,[],[],[]
tU,atmosphere,fur-trimmed coat,12,[],[],[]
tU,atmosphere,long coat,12,[],[],[]
tU,atmosphere,overcoat,12,[],[],[]
tU,atmosphere,raincoat,12,[],[],[]
tU,atmosphere,trench coat,12,[],[],[]
tU,atmosphere,winter coat,12,[],[],[]
tU,atmosphere,compression shirt,12,"[""shirt""]",[],[]
tU,atmosphere,halterneck,12,[],"[""female""]",[]
tU,atmosphere,criss-cross halter,12,[],"[""female""]",[]
tU,atmosphere,hoodie,12,[],[],[]
