Variable,Category,Tag,Weight
eJ,eyes_special,glowing eyes,5
eJ,eyes_special,glowing eye,5
eJ,eyes_special,bright pupils,5
eJ,eyes_special,sparkling eyes,5
eX,eyes_style,crazy eyes,2
eX,eyes_style,empty eyes,5
eX,eyes_style,solid circle eyes,2
eX,eyes_style,solid oval eyes,2
eX,eyes_style,jitome,5
eX,eyes_style,tareme,5
eX,eyes_style,tsurime,5
eX,eyes_style,sanpaku,5
eX,eyes_style,long eyelashes,5
eQ,hair_length,very short hair,5
eQ,hair_length,short hair,5
eQ,hair_length,medium hair,5
eQ,hair_length,long hair,5
eQ,hair_length,very long hair,2
eQ,hair_length,absurdly long hair,2
eQ,hair_length,big hair,5
eK,hair_style,braid,5
eK,hair_style,braided bangs,5
eK,hair_style,front braid,5
eK,hair_style,side braid,5
eK,hair_style,french braid,5
eK,hair_style,crown braid,5
eK,hair_style,single braid,5
eK,hair_style,multiple braids,5
eK,hair_style,braided ponytail,5
eK,hair_style,hair bun,5
eK,hair_style,braided bun,5
eK,hair_style,single hair bun,5
eK,hair_style,double bun,5
eK,hair_style,hair rings,5
eK,hair_style,half updo,5
eK,hair_style,one side up,5
eK,hair_style,two side up,5
eK,hair_style,cone hair bun,5
eK,hair_style,low-braided long hair,5
eK,hair_style,low-tied long hair,5
eK,hair_style,ponytail,5
eK,hair_style,folded ponytail,5
eK,hair_style,high ponytail,5
eK,hair_style,short ponytail,5
eK,hair_style,side ponytail,5
eK,hair_style,split ponytail,5
eK,hair_style,twintails,5
eK,hair_style,low twintails,5
eK,hair_style,short twintails,5
eK,hair_style,uneven twintails,5
eK,hair_style,sidecut,5
eK,hair_style,asymmetrical hair,5
eK,hair_style,hime cut,5
eK,hair_style,curly hair,5
eY,hair_details,drill hair,5
eY,hair_details,twin drills,5
eY,hair_details,hair flaps,5
eY,hair_details,messy hair,5
eY,hair_details,pointy hair,5
eY,hair_details,ringlets,5
eY,hair_details,spiked hair,5
eY,hair_details,straight hair,5
eY,hair_details,wavy hair,5
eY,hair_details,blunt ends,5
eY,hair_details,flipped hair,5
e0,bangs,arched bangs,5
e0,bangs,asymmetrical bangs,5
e0,bangs,bangs pinned back,5
e0,bangs,blunt bangs,5
e0,bangs,crossed bangs,5
e0,bangs,dyed bangs,5
e0,bangs,hair over eyes,5
e0,bangs,hair over one eye,5
e0,bangs,long bangs,5
e0,bangs,parted bangs,5
e0,bangs,short bangs,5
e0,bangs,swept bangs,5
e0,bangs,hair between eyes,5
e0,bangs,hair intakes,5
e0,bangs,sidelocks,5
e0,bangs,asymmetrical sidelocks,5
e0,bangs,drill sidelocks,5
e0,bangs,single sidelock,5
e0,bangs,hair pulled back,5
e0,bangs,hair slicked back,5
e0,bangs,ahoge,5
e0,bangs,antenna hair,5
e0,bangs,hair spread out,2
e0,bangs,cowlick,5
e1,breasts,flat chest,5
e1,breasts,small breasts,10
e1,breasts,medium breasts,10
e1,breasts,large breasts,5
e1,breasts,huge breasts,2
e1,breasts,gigantic breasts,1
e1,breasts,sagging breasts,1
e2,body_features,forehead,5
e2,body_features,collarbone,5
e2,body_features,ribs,5
e2,body_features,neck,5
e2,body_features,narrow waist,5
e2,body_features,wide hips,5
e2,body_features,shiny skin,5
e2,body_features,thighs,5
e2,body_features,thick thighs,5
e2,body_features,thigh gap,5
e2,body_features,third eye,3
e2,body_features,thick eyebrows,5
e2,body_features,teeth,5
e2,body_features,stomach,5
e2,body_features,plump,5
e2,body_features,scar,3
e2,body_features,petite,5
e2,body_features,muscular,5
e2,body_features,mature,5
e2,body_features,huge ass,1
e2,body_features,flat ass,1
e2,body_features,mole under eye,4
e2,body_features,mole under mouth,4
e2,body_features,mole,3
e2,body_features,mole on thigh,3
e2,body_features,freckles,5
e2,body_features,curvy,5
e2,body_features,androgynous,5
e2,body_features,abs,5
e2,body_features,old,5
e2,body_features,toned,5
e2,body_features,fat,1
e2,body_features,biceps,5
e2,body_features,knees,5
e2,body_features,skinny,5
e2,body_features,hip bones,5
e2,body_features,thick arms,5
e2,body_features,tall,5
e5,body_details,baseball cap,5
e5,body_details,cabbie hat,5
e5,body_details,deerstalker,5
e5,body_details,peaked cap,5
e5,body_details,shako cap,5
e5,body_details,bicorne,5
e5,body_details,bowler hat,5
e5,body_details,cowboy hat,5
e5,body_details,straw hat,5
e5,body_details,fedora,5
e5,body_details,female service cap,5
e5,body_details,flat cap,5
e5,body_details,pirate hat,5
e5,body_details,sun hat,5
e5,body_details,top hat,5
e5,body_details,tricorne,5
e5,body_details,witch hat,5
e5,body_details,wizard hat,5
e5,body_details,dixie cup hat,5
e5,body_details,chef hat,5
e5,body_details,beret,5
e5,body_details,beanie,5
e5,body_details,coif,5
e5,body_details,fur hat,5
e5,body_details,nightcap,5
e5,body_details,nurse cap,5
e5,body_details,party hat,5
e5,body_details,sailor hat,5
e5,body_details,santa hat,5
e5,body_details,animal hat,5
e5,body_details,crown,5
e5,body_details,circlet,5
e5,body_details,diadem,5
e5,body_details,tiara,5
e5,body_details,aviator cap,5
e5,body_details,bandana,5
e5,body_details,bonnet,5
e5,body_details,head scarf,5
e5,body_details,jester cap,5
e5,body_details,frilled hat,5
e5,body_details,military hat,5
e5,body_details,police hat,5
e5,body_details,visor cap,5
e5,body_details,headpiece,5
e5,body_details,garrison cap,5
e5,body_details,head wreath,5
e5,body_details,flower wreath,5
e5,body_details,animal on head,5
e6,skin,hair ribbon,5
e6,skin,hair bow,5
e6,skin,hairband,5
e6,skin,headband,5
e6,skin,headdress,5
e6,skin,veil,5
e6,skin,hooded cloak,5
e4,legwear,hat bow,5
e4,legwear,hat flower,5
e4,legwear,hat ornament,5
e4,legwear,hat ribbon,5
e4,legwear,hat with ears,5
e3,dresses,coat dress,5
e3,dresses,cocktail dress,5
e3,dresses,dirndl,5
e3,dresses,evening gown,5
e3,dresses,funeral dress,5
e3,dresses,gown,5
e3,dresses,nightgown,5
e3,dresses,pencil dress,5
e3,dresses,sailor dress,5
e3,dresses,santa dress,5
e3,dresses,sundress,5
e3,dresses,sweater dress,5
e3,dresses,tube dress,5
e3,dresses,wedding dress,5
e3,dresses,fur-trimmed dress,5
e3,dresses,armored dress,5
e3,dresses,backless dress,5
e3,dresses,collared dress,5
e3,dresses,frilled dress,5
e3,dresses,halter dress,5
e3,dresses,latex dress,5
e3,dresses,layered dress,5
e3,dresses,long dress,5
e3,dresses,off-shoulder dress,5
e3,dresses,pleated dress,5
e3,dresses,ribbed dress,5
e3,dresses,ribbon-trimmed dress,5
e3,dresses,short dress,5
e3,dresses,see-through dress,5
e3,dresses,sleeveless dress,5
e3,dresses,strapless dress,5
e3,dresses,china dress,5
e3,dresses,fundoshi,5
e3,dresses,hakama,5
e3,dresses,kimono,5
e3,dresses,yukata,5
e3,dresses,furisode,5
e8,skirts,socks,5
e8,skirts,kneehighs,5
e8,skirts,over-kneehighs,5
e8,skirts,thighhighs,5
e8,skirts,pantyhose,5
e8,skirts,leggings,5
e8,skirts,leg warmers,5
e8,skirts,loose socks,5
e7,muscle,fishnet legwear,5
e7,muscle,bow legwear,5
e7,muscle,ribbed legwear,5
e7,muscle,seamed legwear,5
e7,muscle,see-through legwear,5
e7,muscle,shiny legwear,5
e7,muscle,toeless legwear,5
e7,muscle,fur-trimmed legwear,5
e7,muscle,lace-trimmed legwear,5
e7,muscle,uneven legwear,5
e7,muscle,mismatched legwear,5
e9,tops,blouse,5
e9,tops,frilled shirt,5
e9,tops,sleeveless shirt,5
e9,tops,bustier,5
e9,tops,crop top,5
e9,tops,camisole,5
e9,tops,babydoll,5
e9,tops,chemise,5
e9,tops,nightgown,5
e9,tops,cardigan,5
e9,tops,cardigan vest,5
e9,tops,coat,5
e9,tops,duffel coat,5
e9,tops,fur coat,5
e9,tops,fur-trimmed coat,5
e9,tops,long coat,5
e9,tops,overcoat,5
e9,tops,raincoat,5
e9,tops,trench coat,5
e9,tops,winter coat,5
e9,tops,compression shirt,5
e9,tops,halterneck,5
e9,tops,criss-cross halter,5
e9,tops,hoodie,5
e9,tops,jacket,5
e9,tops,blazer,5
e9,tops,cropped jacket,5
e9,tops,letterman jacket,5
e9,tops,safari jacket,5
e9,tops,suit jacket,5
e9,tops,leather jacket,5
e9,tops,poncho,5
e9,tops,raglan sleeves,5
e9,tops,shirt,5
e9,tops,collared shirt,5
e9,tops,dress shirt,5
e9,tops,off-shoulder shirt,5
e9,tops,sleeveless shirt,5
e9,tops,striped shirt,5
e9,tops,t-shirt,5
e9,tops,shrug (clothing),5
e9,tops,surcoat,5
e9,tops,sweater,5
e9,tops,turtleneck,5
e9,tops,sleeveless turtleneck,5
e9,tops,ribbed sweater,5
e9,tops,aran sweater,5
e9,tops,argyle sweater,5
e9,tops,virgin killer sweater,5
e9,tops,tabard,5
e9,tops,tailcoat,5
e9,tops,tank top,5
e9,tops,tube top,5
e9,tops,bandeau,5
e9,tops,underbust,5
e9,tops,vest,5
e9,tops,sweater vest,5
e9,tops,waistcoat,5
e9,tops,sarashi,5
e9,tops,tunic,5
e9,tops,front-tie top,5
e9,tops,breast curtains,5
e9,tops,pasties,1
e9,tops,heart pasties,1
te,shoes,bloomers,5
te,shoes,buruma,5
te,shoes,chaps,5
te,shoes,kilt,5
te,shoes,pants,5
te,shoes,tight pants,5
te,shoes,baggy pants,5
te,shoes,bell-bottoms,5
te,shoes,capri pants,5
te,shoes,detached pants,5
te,shoes,jeans,5
te,shoes,lowleg pants,5
te,shoes,pants rolled up,5
te,shoes,yoga pants,5
te,shoes,pelvic curtain,5
te,shoes,petticoat,5
te,shoes,shorts,5
te,shoes,bike shorts,5
te,shoes,denim shorts,5
te,shoes,dolphin shorts,5
te,shoes,gym shorts,5
te,shoes,lowleg shorts,5
te,shoes,micro shorts,5
te,shoes,short shorts,5
te,shoes,suspender shorts,5
te,shoes,shorts under skirt,5
te,shoes,skirt,5
te,shoes,bubble skirt,5
te,shoes,high-waist skirt,5
te,shoes,long skirt,5
te,shoes,lowleg skirt,5
te,shoes,microskirt,5
te,shoes,miniskirt,5
te,shoes,overall skirt,5
te,shoes,plaid skirt,5
te,shoes,pleated skirt,5
te,shoes,suspender skirt,5
te,shoes,showgirl skirt,5
te,shoes,sweatpants,5
tt,lower_clothing,boots,5
tt,lower_clothing,ankle boots,5
tt,lower_clothing,armored boots,5
tt,lower_clothing,cowboy boots,5
tt,lower_clothing,knee boots,5
tt,lower_clothing,high heel boots,5
tt,lower_clothing,lace-up boots,5
tt,lower_clothing,rubber boots,5
tt,lower_clothing,thigh boots,5
tt,lower_clothing,cross-laced footwear,5
tt,lower_clothing,dress shoes,5
tt,lower_clothing,flats,5
tt,lower_clothing,high heels,5
tt,lower_clothing,loafers,5
tt,lower_clothing,mary janes,5
tt,lower_clothing,platform footwear,5
tt,lower_clothing,pointy footwear,5
tt,lower_clothing,pumps,5
tt,lower_clothing,sandals,5
tt,lower_clothing,flip-flops,5
tt,lower_clothing,geta,5
tt,lower_clothing,gladiator sandals,5
tt,lower_clothing,okobo,5
tt,lower_clothing,zouri,5
tt,lower_clothing,slippers,5
tt,lower_clothing,animal slippers,5
tt,lower_clothing,ballet slippers,5
tt,lower_clothing,crocs,5
tt,lower_clothing,uwabaki,5
tt,lower_clothing,sneakers,5
tt,lower_clothing,high tops,5
tt,lower_clothing,converse,5
tt,lower_clothing,toeless footwear,5
tt,lower_clothing,wedge heels,5
ta,uniforms,armor,5
ta,uniforms,full armor,5
ta,uniforms,power armor,5
ta,uniforms,armored dress,5
ta,uniforms,bikini armor,5
ta,uniforms,band uniform,5
ta,uniforms,cassock,5
ta,uniforms,cheerleader,5
ta,uniforms,ghost costume,5
ta,uniforms,business suit,5
ta,uniforms,pant suit,5
ta,uniforms,skirt suit,5
ta,uniforms,tuxedo,5
ta,uniforms,gym uniform,5
ta,uniforms,habit,5
ta,uniforms,harem outfit,5
ta,uniforms,hazmat suit,5
ta,uniforms,animal costume,5
ta,uniforms,maid,5
ta,uniforms,unconventional maid,5
ta,uniforms,miko,5
ta,uniforms,military uniform,5
ta,uniforms,overalls,5
ta,uniforms,pajamas,5
ta,uniforms,pilot suit,5
ta,uniforms,sailor,5
ta,uniforms,santa costume,5
ta,uniforms,school uniform,5
ta,uniforms,serafuku,5
ta,uniforms,track suit,5
ta,uniforms,tutu,5
ta,uniforms,waitress,5
ta,uniforms,cowboy western,5
ta,uniforms,magical girl,5
ta,uniforms,lab coat,5
ta,uniforms,idol,5
ta,uniforms,police,5
ta,uniforms,race queen,5
ta,uniforms,bride,5
ta,uniforms,knight,5
ta,uniforms,tomboy,5
ta,uniforms,soccer uniform,5
ta,uniforms,employee uniform,5
ta,uniforms,dancer,5
ta,uniforms,spacesuit,5
ta,uniforms,idol,5
ta,uniforms,gyaru,5
ta,uniforms,kogal,5
ta,uniforms,soldier,5
ta,uniforms,pirate,5
ta,uniforms,princess,5
ta,uniforms,samurai,5
ta,uniforms,priest,5
ta,uniforms,nun,5
ti,bodysuits,bikesuit,5
ti,bodysuits,racing suit,5
ti,bodysuits,bodysuit,5
ti,bodysuits,jumpsuit,5
ti,bodysuits,short jumpsuit,5
ti,bodysuits,leotard,5
ti,bodysuits,strapless leotard,5
ti,bodysuits,thong leotard,5
ti,bodysuits,robe,5
ti,bodysuits,unitard,5
ti,bodysuits,springsuit,5
tr,swimsuit_types,swimsuit,5
tr,swimsuit_types,one-piece swimsuit,5
tr,swimsuit_types,casual one-piece swimsuit,5
tr,swimsuit_types,competition swimsuit,5
tr,swimsuit_types,slingshot swimsuit,5
tr,swimsuit_types,square bikini,5
tr,swimsuit_types,school swimsuit,5
tr,swimsuit_types,bikini,5
tr,swimsuit_types,string bikini,5
tr,swimsuit_types,micro bikini,5
tr,swimsuit_types,lowleg bikini,5
tr,swimsuit_types,thong bikini,5
tr,swimsuit_types,sports bikini,5
tr,swimsuit_types,swim briefs,5
tr,swimsuit_types,rash guard,5
tr,swimsuit_types,wetsuit,5
tr,swimsuit_types,front-tie bikini top,5
tr,swimsuit_types,o-ring bikini,5
tr,swimsuit_types,strapless bikini,5
tr,swimsuit_types,maid bikini,5
tr,swimsuit_types,swim trunks,5
ts,accessories,apron,5
ts,accessories,cape,5
ts,accessories,capelet,5
ts,accessories,hood,5
ts,accessories,bodystocking,5
ts,accessories,ascot,5
ts,accessories,bowtie,5
ts,accessories,choker,5
ts,accessories,collar,5
ts,accessories,epaulettes,5
ts,accessories,feather boa,5
ts,accessories,lapels,5
ts,accessories,neck ruff,5
ts,accessories,neckerchief,5
ts,accessories,necklace,5
ts,accessories,necktie,5
ts,accessories,neck ribbon,5
ts,accessories,scarf,5
ts,accessories,shawl,5
ts,accessories,anklet,5
ts,accessories,arm belt,5
ts,accessories,armband,5
ts,accessories,armlet,5
ts,accessories,bracelet,5
ts,accessories,bangle,5
ts,accessories,spiked bracelet,5
ts,accessories,bridal gauntlets,5
ts,accessories,detached sleeves,5
ts,accessories,arm warmers,5
ts,accessories,gloves,5
ts,accessories,fingerless gloves,5
ts,accessories,elbow gloves,5
ts,accessories,half gloves,5
ts,accessories,mittens,5
ts,accessories,leg belt,5
ts,accessories,ring,5
ts,accessories,thighlet,5
ts,accessories,wide sleeves,5
ts,accessories,wristband,5
ts,accessories,wrist cuffs,5
ts,accessories,cuffs,5
ts,accessories,wrist scrunchie,5
ts,accessories,badge,5
ts,accessories,belly chain,5
ts,accessories,belt,5
ts,accessories,brooch,5
ts,accessories,buttons,5
ts,accessories,collar chain,5
ts,accessories,corsage,5
ts,accessories,cuff links,5
ts,accessories,pentacle,5
ts,accessories,sarong,5
ts,accessories,sash,5
ts,accessories,suspenders,5
ts,accessories,tassel,5
ts,accessories,clothing cutout,5
ts,accessories,flower trim,5
ts,accessories,frills,5
ts,accessories,gold trim,5
ts,accessories,lace trim,5
ts,accessories,ribbon trim,5
ts,accessories,see-through,5
ts,accessories,silver trim,5
ts,accessories,torn clothes,5
ts,accessories,earrings,5
ts,accessories,hoop earrings,5
ts,accessories,stud earrings,5
ts,accessories,earclip,5
ts,accessories,glasses,5
ts,accessories,monocle,5
ts,accessories,hair ornament,5
ts,accessories,hair beads,5
ts,accessories,hair bobbles,5
ts,accessories,hairclip,5
ts,accessories,hairpin,5
ts,accessories,hair scrunchie,5
ts,accessories,hair stick,5
ts,accessories,mask,5
ts,accessories,surgical mask,5
ts,accessories,sleeves pushed up,5
ts,accessories,sleeves rolled up,5
ts,accessories,short sleeves,5
ts,accessories,long sleeves,5
ts,accessories,sleeves past wrists,5
ts,accessories,sleeves past fingers,5
ts,accessories,sleeves past elbows,5
ts,accessories,puffy sleeves,5
ts,accessories,sleeveless,5
ts,accessories,goggles,5
ts,accessories,sunglasses,5
ts,accessories,coke-bottle glasses,5
ts,accessories,opaque glasses,5
ts,accessories,safety glasses,5
ts,accessories,ski goggles,5
ts,accessories,bespectacled,5
ts,accessories,ear piercing,5
ts,accessories,eyebrow piercing,5
ts,accessories,lip piercing,5
ts,accessories,nose piercing,5
ts,accessories,tongue piercing,5
ts,accessories,navel piercing,5
ts,accessories,zipper,5
ts,accessories,zettai ryouiki,5
ts,accessories,wristwatch,5
ts,accessories,x hair ornament,5
ts,accessories,wing collar,5
ts,accessories,whisker markings,5
ts,accessories,wet,5
ts,accessories,weapon,5
ts,accessories,wand,5
ts,accessories,waist apron,5
ts,accessories,veins,5
ts,accessories,vambraces,5
ts,accessories,valentine,5
ts,accessories,underboob,5
ts,accessories,umbrella,5
ts,accessories,under-rim eyewear,5
ts,accessories,unbuttoned,5
ts,accessories,tray,5
ts,accessories,toenail polish,5
ts,accessories,tentacles,5
ts,accessories,tattoo,5
ts,accessories,tanlines,5
ts,accessories,swimsuit under clothes,5
ts,accessories,sweat,5
ts,accessories,striped,5
ts,accessories,strap slip,5
ts,accessories,star print,5
ts,accessories,spikes,5
ts,accessories,sideboob,5
ts,accessories,side slit,5
ts,accessories,shoulder armor,5
ts,accessories,shoulder bag,5
ts,accessories,shoulder cutout,5
ts,accessories,shoulder tattoo,5
ts,accessories,shirt tucked in,5
ts,accessories,shiny clothes,5
ts,accessories,sharp teeth,5
ts,accessories,sharp fingernails,5
ts,accessories,saliva,5
ts,accessories,pouch,5
ts,accessories,polka dot,5
ts,accessories,pom pom (clothes),5
ts,accessories,pocket,5
ts,accessories,revealing clothes,5
ts,accessories,ribbon,5
ts,accessories,ribbon choker,5
ts,accessories,randoseru,5
ts,accessories,semi-rimless eyewear,5
ts,accessories,scrunchie,5
ts,accessories,school bag,5
ts,accessories,plaid,5
ts,accessories,pendant,5
ts,accessories,pauldrons,5
ts,accessories,partially unbuttoned,5
ts,accessories,paw gloves,5
ts,accessories,open clothes,5
ts,accessories,off shoulder,5
ts,accessories,o-ring top,5
ts,accessories,neck bell,5
ts,accessories,navel cutout,5
ts,accessories,mustache,5
ts,accessories,wings,5
ts,accessories,low wings,5
ts,accessories,lipstick,5
ts,accessories,leg ribbon,5
ts,accessories,leash,5
ts,accessories,lace,5
ts,accessories,knee pads,5
ts,accessories,kemonomimi mode,5
ts,accessories,juliet sleeves,5
ts,accessories,joints,5
ts,accessories,jewelry,5
ts,accessories,jacket on shoulders,5
ts,accessories,impossible clothes,5
ts,accessories,ice wings,5
ts,accessories,horns,5
ts,accessories,curled horns,5
ts,accessories,highleg,5
ts,accessories,high collar,5
ts,accessories,helmet,5
ts,accessories,mouth mask,5
ts,accessories,midriff peek,5
ts,accessories,midriff,5
ts,accessories,mechanical arms,5
ts,accessories,mask on head,5
ts,accessories,makeup,5
ts,accessories,long fingernails,5
ts,accessories,helmet,5
ts,accessories,halo,5
ts,accessories,hair tubes,5
ts,accessories,gauntlets,5
ts,accessories,garter straps,5
ts,accessories,fur trim,5
ts,accessories,floating hair,5
ts,accessories,fins,5
ts,accessories,fangs,5
ts,accessories,fang out,5
ts,accessories,facial mark,5
ts,accessories,facial hair,5
ts,accessories,eyeshadow,5
ts,accessories,eyes visible through hair,5
ts,accessories,eyepatch,5
ts,accessories,eyeliner,5
ts,accessories,eyelashes,5
ts,accessories,eyebrows,5
ts,accessories,eyewear on head,5
ts,accessories,earmuffs,5
ts,accessories,covered navel,5
ts,accessories,corset,5
ts,accessories,contemporary,5
ts,accessories,colored eyelashes,5
ts,accessories,cleavage cutout,5
ts,accessories,cleavage,5
ts,accessories,claws,5
ts,accessories,checkered clothes,5
ts,accessories,center opening,5
ts,accessories,center frills,5
ts,accessories,breasts apart,5
ts,accessories,breastplate,5
ts,accessories,breast pocket,5
ts,accessories,bracer,5
ts,accessories,blood on clothes,2
ts,accessories,blood on face,2
ts,accessories,blindfold,5
ts,accessories,bare shoulders,5
ts,accessories,bare arms,5
ts,accessories,bare legs,5
ts,accessories,bandaid on face,5
ts,accessories,bandaid,5
ts,accessories,bandages,5
ts,accessories,bandaged leg,5
ts,accessories,bandaged arm,5
ts,accessories,backpack,5
ts,accessories,backless outfit,5
ts,accessories,back bow,5
ts,accessories,ass visible through thighs,5
ts,accessories,ass focus,5
ts,accessories,armpits,5
ts,accessories,armpit crease,5
ts,accessories,arm tattoo,5
ts,accessories,animal print,5
ts,accessories,clothes around waist,5
ts,accessories,headphones around neck,5
ts,accessories,oversized clothes,5
ts,accessories,manly,5
ts,accessories,greaves,5
ts,accessories,one-eyed,5
ts,accessories,fur-trimmed sleeves,5
ts,accessories,polka dot bow,5
ts,accessories,harness,5
ts,accessories,forehead jewel,5
ts,accessories,single bare shoulder,5
ts,accessories,spiked collar,5
ts,accessories,striped necktie,5
ts,accessories,arm guards,5
ts,accessories,undershirt,5
ts,accessories,latex,5
ts,accessories,bandaid on leg,5
ts,accessories,bead necklace,5
ts,accessories,dirty,5
ts,accessories,motorcycle,5
ts,accessories,giantess,5
ts,accessories,cyborg,5
ts,accessories,bruise,5
ts,accessories,waist cape,5
ts,accessories,extra arms,5
ts,accessories,taut shirt,5
ts,accessories,chest jewel,5
ts,accessories,v-neck,5
ts,accessories,plaid scarf,5
ts,accessories,prosthesis,5
ts,accessories,single mechanical arm,5
ts,accessories,blood on hands,2
ts,accessories,bandaid on nose,5
ts,accessories,robot joints,5
ts,accessories,zombie,5
ts,accessories,tail ribbon,5
ts,accessories,tomboy,5
ts,accessories,panty peek,5
ts,accessories,leg tattoo,5
ts,accessories,lanyard,5
ts,accessories,bra visible through clothes,5
ts,accessories,amputee,5
ts,accessories,bra strap,5
ts,accessories,money,5
ts,accessories,revolver,5
ts,accessories,pearl necklace,5
ts,accessories,dimples of venus,5
ts,accessories,coat on shoulders,5
ts,accessories,chest harness,5
ts,accessories,slime (substance),5
ts,accessories,partially unzipped,5
ts,accessories,bodypaint,5
ts,accessories,metal collar,5
ts,accessories,loose necktie,5
ts,accessories,clover,5
ts,accessories,body markings,5
ts,accessories,mechanical wings,5
ts,accessories,leaf print,5
ts,accessories,pentagram,5
ts,accessories,neon trim,5
ts,accessories,prosthetic arm,5
ts,accessories,bandage over one eye,5
ts,accessories,mascara,5
ts,accessories,cat ear headphones,5
ts,accessories,cuts,5
ts,accessories,jacket around waist,5
ts,accessories,bleeding,5
ts,accessories,rectangular eyewear,5
ts,accessories,chain necklace,5
ts,accessories,medal,5
ts,accessories,tie clip,5
ts,accessories,paw shoes,5
ts,accessories,feather trim,5
ts,accessories,gold chain,5
ts,accessories,mechanical parts,5
ts,accessories,seamed legwear,5
ts,accessories,mechanical legs,5
ts,accessories,eye mask,5
ts,accessories,scratches,5
ts,accessories,cross scar,5
ts,accessories,tusks,5
ts,accessories,dragon print,5
ts,accessories,sun symbol,5
ts,accessories,uneven sleeves,5
ts,accessories,energy wings,5
